Dim1,Dim2,assignment_delay_label
46.25476,-5.4523406,3
26.387707,3.864915,3
-36.553986,21.512121,2
-28.84862,6.422049,2
37.854786,25.865454,3
38.928314,5.800016,4
31.664856,27.539581,3
2.3331242,-24.344347,3
50.513523,7.4716387,3
45.896877,10.232319,3
-53.515545,11.69962,0
42.757187,2.5484397,3
40.314022,-13.624375,4
-43.92536,-6.4782405,1
45.694313,6.5804186,3
-49.70398,4.240154,1
45.56813,4.543039,3
3.0980062,-15.774588,3
3.8882253,-11.227836,3
-32.931015,-14.231933,2
15.205636,0.7496563,3
15.79081,-2.066129,3
31.039145,-14.428239,4
-64.944885,1.6896002,1
-33.595177,-18.82407,2
-60.260365,1.6069189,1
25.375315,-25.197798,4
-1.7631377,-4.524193,3
24.310144,6.790138,3
38.359493,24.262617,3
10.494541,-21.274712,3
-53.309547,14.342142,0
29.743868,8.0032425,3
-42.09539,5.1154947,1
31.858343,15.5990095,3
3.8882253,-11.227836,3
24.703205,3.988796,3
-70.380905,8.814229,2
-36.287464,12.316908,2
-41.09835,14.12069,2
-56.061394,-2.3458996,0
8.407054,-15.251474,4
24.949192,14.124546,3
-30.476982,18.72057,2
-37.03164,1.1824869,2
-36.553986,21.512121,2
40.713173,-4.0148525,3
39.744835,-16.332277,4
51.093906,11.929053,3
33.825542,-22.58659,4
4.5170784,-3.2465138,4
-43.210052,8.198872,1
40.335346,-9.825075,4
-44.620644,18.993294,1
50.513523,7.4716387,3
-36.553986,21.512121,2
28.742304,-14.305344,4
42.81699,-15.1610775,4
24.304325,21.299734,3
40.299217,-6.840379,3
-39.774204,11.381872,2
-27.856234,0.17266373,2
-67.262184,6.5509186,1
43.790802,5.525922,3
-39.48185,9.464357,2
37.971684,3.0403934,3
32.595966,-1.7253052,3
-42.809658,3.0663197,1
18.736528,-21.89448,4
36.326252,-21.70244,4
3.5409389,-31.173157,3
44.757698,-1.3567941,3
5.9210873,-27.708284,3
-55.939037,-8.334372,1
-0.2892688,-5.5223856,3
-34.200176,20.755621,2
-45.397358,5.868252,1
-31.140068,-18.796976,2
-62.120872,-5.761304,0
-60.000633,8.967202,0
-46.326508,-4.994619,1
27.116957,-18.174994,4
32.537193,22.018343,3
14.841621,-29.192543,4
-34.946476,-13.611846,2
-36.676483,3.6173203,2
48.18718,16.156052,3
-43.369797,12.457632,1
-0.1395496,-8.859082,3
-69.79449,-1.234165,1
2.731944,-28.44615,3
3.8046827,-19.506273,3
-39.91839,21.96353,1
35.53557,-3.340742,3
48.80683,-1.4310207,3
-59.63846,6.9915233,0
31.039145,-14.428239,4
13.174922,3.9560645,3
18.298363,-19.644424,4
-64.28295,-0.0154083725,1
-68.00781,4.2131915,1
-51.649895,9.765731,1
-44.39024,-12.589058,2
-68.22836,8.029244,1
14.121793,-20.504974,3
16.507805,10.62334,3
23.222034,-11.91707,4
17.871464,12.440331,3
29.451496,12.903125,3
-30.25974,20.362585,2
13.215034,1.1240776,3
35.081566,20.471056,3
-45.962894,-13.728759,2
-41.42548,20.67895,1
-30.261765,6.7070103,2
-51.184513,15.998907,1
-29.21112,15.182587,2
-43.464592,-15.403027,2
49.594242,10.830799,3
15.559003,4.6296415,3
45.896877,10.232319,3
-31.140068,-18.796976,2
40.56532,-0.0017559374,3
-30.981314,-4.5153155,2
23.817295,11.981837,3
-53.34277,-3.9630823,1
-46.89439,15.698919,1
-60.03133,-5.3942995,0
-44.670326,20.80164,1
46.305756,-10.681763,4
26.267721,12.960207,3
29.237411,-15.90362,4
21.731274,17.993372,3
-61.793736,7.530345,1
48.18718,16.156052,3
32.892994,1.91493,3
10.494541,-21.274712,3
-54.112255,6.7032304,1
-43.464592,-15.403027,2
17.840546,7.6134114,3
-1.9859643,-6.9963055,3
-38.361736,0.43597734,2
9.315491,-26.450277,3
37.971684,3.0403934,3
31.399069,-21.122501,4
19.386305,-24.579845,4
-34.793743,18.594593,2
27.846132,21.701519,3
-32.5768,4.5673227,2
-42.86565,-3.62088,2
49.321568,4.559932,3
22.816366,-27.331264,4
29.220867,25.753113,3
43.938946,-7.132946,3
9.612826,-7.059139,3
19.386305,-24.579845,4
0.42849985,-23.036884,3
12.593778,-22.956173,3
32.980217,5.4394574,3
-48.306652,-13.0541315,1
29.369917,2.033504,3
26.184113,6.901426,3
45.99803,18.769812,3
-50.75287,19.061956,0
-63.8959,-2.8710501,0
-65.74008,-2.211599,0
23.760145,0.39685497,4
10.337476,-29.385086,3
-37.98082,10.754788,2
-29.358137,-2.433775,2
-30.91787,-13.682529,2
7.404234,-8.065358,3
43.38638,-8.743739,3
-53.9752,-5.92071,1
-46.425095,21.656132,1
26.09677,19.967567,3
-69.176216,9.657047,2
25.010996,-28.128544,4
-38.86589,13.885935,2
22.819809,16.604916,3
10.058969,-8.935335,3
-41.970398,-7.813298,2
-46.412453,4.415151,1
-53.13064,-10.125118,1
-5.2865095,-7.000778,3
39.89686,20.592495,3
40.299217,-6.840379,3
32.05785,25.288828,3
37.346455,-12.449334,4
41.873383,13.386272,3
-28.5569,19.29127,2
